year,workauthorization,country,gender,degree,college,department,major,graddate,status,jobtitle.gradprogram,city,state.country,graddegree,annualsalary,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2014,U.S. Citizen,United States,Male,BS,CIT,Materials Science,MSE,S14,E,Business & Systems Integration Analyst,Pittsburgh,PA,,72000,TartanTRAK,,,Engineering: Materials,consulting,1
2014,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Development Engineer,San Francisco,CA,,100000,,,,Engineering: Electrical/Computer,technology,NA
2014,Non-US Citizen,Other,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Mobile Engineer,Beaverton,OR,,80000,TartanTRAK,41592,41609,Engineering: Electrical/Computer,consumer products,2
2014,U.S. Citizen,United States,Male,BS,CIT,Materials Science,MSE,S14,E,Research Scientist,Washington,DC,,57000,Networking,,,Engineering: Research & Development,education,1
2014,U.S. Citizen,United States,Male,BS,CIT,Materials Science,MSE,S14,E,Steel Business Associate-Sales Engineer,Canton,OH,,62400,Job Fair,,,Engineering: Materials,manufacturing,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,New York,NY,,85000,TartanTRAK,41343,41357,Engineering: Electrical/Computer,arts & entertainment,8
2014,U.S. Citizen,Taiwan,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Rotational Software Engineer,Cupertino,CA,,95000,,,,Engineering: Electrical/Computer,technology,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,S14,E,Consultant,New York,NY,,72000,,,,Analyst: Business,consulting,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,San Francisco,CA,,105000,Networking,,,Engineering: Electrical/Computer,transportation,4
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Development Engineer,Seattle,WA,,90000,TartanTRAK,,,Engineering: Electrical/Computer,retail,2
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S15,E,CAD Research Intern,Hillsboro,OR,,65000,"Netowrking, Hired from intership",,,Research and Development,technology,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Application Engineer,Boston,MA,,75000,Networking,,,Engineering: Electrical/Computer,manufacturing,2
2014,U.S. Citizen,United States,Female,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,Mountain View,CA,,100000,Hired from internship Experience,,,Engineering: Electrical/Computer,technology,1
2014,Non-US Citizen,Korea,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Technology Analyst,New York,NY,,85000,TartanTRAK,,,Engineering: Electrical/Computer,financial services,3
2014,Permanent Resident,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Patent Examiner,Arlington,VA,,68400,On-line Job site,,,Engineering: Quality Control,education,NA
2014,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,S14,E,Management Consultant,New York,NY,,65000,Job Fair,,,Engineering: Materials,consulting,2
2014,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,McLean,VA,,85000,TartanTRAK,,,Engineering: Electrical/Computer,consulting,1
2014,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,F13,E,Process Engineer,Pittsburgh,PA,,70000,Networking,,,Engineering: Materials,manufacturing,4
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S15,E,Software Development Engineer,Seattle,WA,,90000,Job Fair,,,Engineering: Electrical/Computer,retail,2
2014,Permanent Resident,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,Redwood City,CA,,100000,Job Fair,,,Engineering: Electrical/Computer,technology,3
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Developer,Pittsburgh,PA,,76665,Hired from Internship,,,Engineering: Electrical/Computer,technology,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,Pittsburgh,PA,,95000,,,,Engineering: Electrical/Computer,technology,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Avionics Integration Engineer,Hermosa Beach,CA,,78000,,,,Engineering: Electrical/Computer,transportation,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Materials Science,MSE,S14,E,Field Engineer,Cheyenne,WY,,60000,Job Fair,,,Engineering: Field Engineering,energy,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Core Software Developer,Chicago,IL,,75000,On line application,41501,41501,Engineering: Electrical/Computer,financial services,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,San Francisco,CA,,90000,TartanTRAK,,,Engineering: Electrical/Computer,technology,2
2014,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,New York,NY,,80000,TartanTRAK,,,Engineering: Electrical/Computer,financial services,2
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Infrastructure Quality Engineer,Palo Alto,CA,,86000,Hired from summer internship,,,Engineering: Electrical/Computer,technology,1
2014,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,Mountain View,CA,,108000,Job Fair,,,Engineering: Electrical/Computer,technology,3
2014,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Devlopment Engineer,Seattle,WA,,90000,Hired from Internship,,,Engineering: Electrical/Computer,retail,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,User Experience Software Engineer,Palo Alto,CA,,86000,Hired from Internship,,,Engineering: Electrical/Computer,technology,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,San Francisco,CA,,85000,Networking,,,Engineering: Electrical/Computer,technology,NA
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Display Software Engineer,Boston,MA,,57600,TartanTRAK,,,Engineering: Electrical/Computer,technology,3
2014,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,S14,E,Business Analystics Consultant,Washington,DC,,62364,Networking,,,Engineering: Materials,technology,2
2014,U.S. Citizen,United States,Female,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Developer,San Francisco,CA,,100000,Job Fair,,,Engineering: Electrical/Computer,technology,2
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Associate Support Engineer,Philadelphia,PA,,90110,TartanTRAK,,,Engineering: Electrical/Computer,technology,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,New York,NY,,104000,TartanTRAK,,,Engineering: Electrical/Computer,retail,2
2014,U.S. Citizen,United States,Female,BS,CIT,Materials Science,MSE,S14,E,"Operations Management Leadership Program, Transportation",Erie,PA,,65000,Hired from internship,,,Management: Operations,manufacturing,1
2014,Non-US Citizen,China,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,Redwood City,CA,,100000,Job Fair,,,Engineering: Electrical/Computer,technology,1
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S14,E,Software Engineer,New York,NY,,99600,Hired from internship,,,Engineering: Electrical/Computer,technology,2
2014,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Engineer,Austin,TX,,59000,,,,Engineering: Electrical/Computer,manufacturing,NA
2014,U.S. Citizen,United States,Female,BS,MCS,SHS,CMY,F13,E,Technical Writer,Mountain View,CA,,66000,Hired from summer internship,41803,41833,Communications: Writing/Editing,technology,1
2014,U.S. Citizen,United States,Male,BFA,CFA,Architecture,ARC,S14,E,Junior Architect ,New York,NY,,51000,Hired from summer Internship,,,Architecture,architecture,2
2014,Non-US Citizen,Korea,Male,BFA,CFA,Architecture,ARC,S14,E,Junior Architect ,New York,NY,,45000,Networking,5/1/14,5/1/14,Architecture,architecture,2
2014,U.S. Citizen,United States,Female,BS,CFA,Architecture,ARC,S14,E,Product Designer,Redwood City,CA,,80000,CAOC,3/1/14,4/1/14,Interaction Design,technology,NA
2014,U.S. Citizen,United States,Male,BFA,CFA,Architecture,ARC,S14,E,Junior Architect ,New York,NY,,50000,,,,,architecture,NA
2014,U.S. Citizen,United States,Male,BFA,CFA,Drama,PTM - Prod. And Stage Man.,S14,E,Crew ,NA,NA,,19200,,,,Crew,arts & entertainment,NA
2014,U.S. Citizen,United States,Female,BFA,CFA,Design,INDDES,S14,E,Associate Experience Designer,New York,NY,,92000,Hired from Internship Experience,,,Product Development/Management,design,3
2014,Permanent Resident,United States,Female,BFA,CFA,Design,COMDES,S14,E,Junior Information Architect,New York,NY,,70000,,,,,architecture,1
2014,Non-US Citizen,China,Male,BFA,CFA,Design,COMDES,S14,E,Associate User Experience Designer,Mountain View,CA,,105000,Job Fairs/CAOC/Confluence,,,Design,design,NA
2014,U.S. Citizen,Korea,Male,BFA,CFA,Design,COMDES,S14,E,Associate Experience Designer,New York,NY,,90000,Job Fairs/CAOC/Confluence,,,Design,design,NA
2014,U.S. Citizen,United States,Male,BFA,CFA,Architecture,ARC,S14,E,Designer,Los Angeles,CA,,60000,Job Fair,3/1/14,3/1/14,Architecture,design,1
2014,U.S. Citizen,United States,Female,BFA,CFA,Design,COMDES,S14,E,User Experience Designer,New York,NY,,90000,Networking & Job Fairs,,,Interaction/User Interface/UX Design,marketing/communications,NA
2014,U.S. Citizen,United States,Female,BFA,CFA,Design,COMDES,S14,E,Design Specialist,Chicago,IL,,55000,"TartanTRAK, Job Fairs & Hired from Internship Experience",,,Design,consulting,NA
2014,U.S. Citizen,United States,Female,BFA,CFA,Architecture,ARC,S14,E,Intern Architect,Dallas,TX,,44000,Networking,4/1/14,,,architecture,NA
2014,U.S. Citizen,United States,Female,BFA,CFA,Architecture,ARC,S14,E,Architectural Intern,Fort Worth,TX,,45000,On-line Job Listing Site,6/1/14,6/1/14,Architecture,architecture,1
2014,U.S. Citizen,United States,Female,BFA,CFA,Architecture,ARC,S14,E,Architecture Intern,Pittsburgh,PA,,30000,Internship,7/14/14,8/14/14,Communication Design,architecture,NA
2014,Permanent Resident,United States,Female,BFA,CFA,Design,COMDES,S14,E, Interaction Designer,Mountain View,CA,,95000,Job Fairs/CAOC/Confluence,,,Design,technology,4
2014,U.S. Citizen,United States,Female,BFA,CFA,Architecture,ARC,S14,E,Intern Architect,San Francisco,CA,,45000,Networking / online job listing,6/1/14,6/1/14,Architect,architecture,2
2014,U.S. Citizen,United States,Male,BFA,CFA,Architecture,ARC,S14,E,Junior Architect ,New York,NY,,41600,Hired from summer internship,,,,architecture,NA
2014,Non-US Citizen,Canada,Male,BFA,CFA,Design,INDDES,S14,E,Industrial Designer,NA,FL,,50000,,,,,design,NA
2014,U.S. Citizen,United States,Female,BFA,CFA,Architecture,ARC,S14,E,Technical Designer,Houston,TX,,40000,On-line Job Listing Site,5/1/14,5/1/14,Architect,architecture,1
2014,U.S. Citizen,United States,Female,BFA,CFA,Design,COMDES,S14,E,Designer,New York,NY,,60000,Job Fairs/CAOC Confluence,,,Motion Design,advertising & public relations,5
2014,U.S. Citizen,Singapore,Male,BFA,CFA,Architecture,ARC,S14,E,Junior Architect ,New York,NY,,42000,Networking,6/1/14,6/1/14,Architecture,architecture,3
2014,U.S. Citizen,United States,Male,BFA,CFA,Music,Technology,S14,E,Software Engineer,Los Angeles,CA,,79200,job fair and networking,13-Nov,13-Nov,interactive media research,arts & entertainment,1
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BAFIN,S14,E,Credit Analyst,Fulton,MD,,40000,,41671,41671,Finance:Financial Analysis,financial services,1
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,COMPFIN,S14,E,Associate  ,New York,NY,,63000,TartanTRAK,41579,41579,Finance:Other,financial services,NA
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BAFIN,S14,E,Analyst,New York,NY,,72000,Hired from summer internship,41487,41579,Finance:Financial Analysis,financial services,3
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,S14,E,Business Management Associate,Philadelphia,PA,,54000,Networking,41730,41730,Marketing:Business Development/Sales,consumer products,6
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BAFIN,S14,E,Analyst,Bala Cynwyd,PA,,45000,TartanTRAK,41671,41671,Management:Operations,financial services,3
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BAGENMAN,S14,E,Real Estate Banking Rotation Program,Pittsburgh,PA,,72000,TartanTRAK,41518,41548,Finance:Other,financial services,2
2014,Non-US Citizen,China,Female,BS,Tepper,Business Administration,BAFIN,S14,E,Global Risk Analyst,New York,NY,,70000,TartanTRAK,41579,41579,Finance:Risk Management,financial services,NA
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BA,S14,E,Business Analyst ,New York,NY,,70000,Job Fair,41548,41579,Analyst:Business,financial services,1
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BAFIN,S14,E,Business Analyst,Philadelphia,PA,,75500,TartanTRAK,41579,41609,Consulting:Management/Strategy,consulting,3
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BAFIN,S14,E,Finance Rotation Program,Pittsburgh,PA,,57000,TartanTRAK,41579,41609,Finance:Corporate,manufacturing,4
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BAGENMAN,S14,E,Consultant,Washington,DC,,65000,TartanTRAK,41548,41579,Consulting:Management/Strategy ,consulting,1
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BAITM,S14,E,Management Consultant Associate,New York,NY,,65000,Hired from summer internship,41487,41487,Consulting:Management/Strategy ,consulting,1
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BAFIN,S14,E,Junior Trader,Greensburg,PA,,60000,,41699,41699,Finance:Sales and Trading,financial services,2
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BAGENMAN,S14,E,Enterprise Marketing Solutions; Interactive Marketing Associate ,Philadelphia,PA,,50000,Hired from summer internship,41579,41640,Marketing:Brand/Product Management,technology,1
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BAFIN,S14,E,Consultant,Philadelphia,PA,,71000,TartanTRAK,41548,41579,Consulting:Management/Strategy,consulting,2
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,S14,E,Consultant,Washington,DC,,71000,TartanTRAK,41548,41579,Consulting:Management/Strategy ,consulting,3
2014,U.S. Citizen,United States,Male,BS,Tepper,Business Administration,BA,S14,E,Risk Consulting Associate,New York,NY,,65000,Networking,41548,41548,Consulting:Other,consulting,1
2014,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BAFIN,S14,E,"Analyst, Capital Markets Origination",New York,NY,,70000,Hired from Summer Internship,41487,41518,Finance:Investment Banking,financial services,1
