"year","workauthorization","country","gender","degree","college","department","major","graddate","status","employer.school","jobtitle.gradprogram","city","state.country","graddegree","useful","dateoffered","dateaccepted","jobfunction","employerindustry","numoffers","pop","lat","long","capital"
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","BND Engineers","Junior Engineer","Miami","FL",NA,NA,NA,NA,"Engineering","engineering",NA,386740,25.78,-80.21,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Turner Construction","Field Engineer","New York","NY",NA,"Networking & Hired from summer internship","41609","41640","Field Engineering","engineering",1,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Aspen Technology",NA,NA,NA,NA,NA,NA,NA,NA,"technology",NA,NA,NA,NA,NA
2014,NA,"United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Mylan Pharmaceuticals",NA,NA,NA,NA,NA,NA,NA,NA,"pharmaceuticals",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Microsoft","Hardware Engineer","Seattle","WA",NA,"Job Fair",NA,NA,"Engineer: Electrical/Computer","technology",NA,570430,47.62,-122.35,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","MediaMath","Marketing Engineer","New York","NY",NA,NA,NA,NA,NA,NA,NA,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Accenture","Business & Systems Integration Analyst","Pittsburgh","PA",NA,"networking",NA,NA,"Business Analyst","consulting",NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Schlumberger","Field Engineer","Oklahoma City","OK",NA,NA,"41579","41640","Field Engineering","engineering",1,538141,35.47,-97.51,2
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Accenture","Consulting Analyst","Pittsburgh","PA",NA,"TartanTRAK",NA,NA,"Analyst Other","consulting",NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Schlumberger","Field Engineer","Canonsburg","PA",NA,"networking",NA,NA,"Field Engineering","engineering",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Medical Physics & Health Physics Services, Inc.","Intern","Manila","Philippines",NA,"Networking",NA,NA,"Other","healthcare",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Lexmark International","Engineer","Lexington","KY",NA,"TartanTRAK",NA,NA,"Engineering","manufacturing",NA,274245,38.04,-84.46,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","National Institutes of Health","Researcher","Bethesda","MD",NA,NA,NA,NA,"Research","education",2,52217,38.99,-77.12,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","ExxonMobil","Sales Engineer","Fairfax","VA",NA,"job fair","41579","41579","Engineering Other","energy",4,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Accenture","Business & Systems Integration Analyst","Pittsburgh","PA",NA,"networking",NA,NA,"Business Analyst","consulting",NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Gannett Fleming","Transportation Engineer","Harrisburg","PA",NA,"Networking","41671","41671","Engineering Other","transportation",NA,47576,40.28,-76.88,2
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Denique Affectus","Web Developer","Los Angeles","CA",NA,NA,NA,NA,"Design: Interaction/User Interface/UX Design","technology",NA,3911500,34.11,-118.41,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","E","Eaton","Rotational Program",NA,NA,NA,"Networking","41579","41609","Engineering Other","energy",2,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Lockheed Martin","Mechanical Engineer","Unknown",NA,NA,NA,NA,NA,"Engineering: Mechanical","manufacturing",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","M & H Engineering","Graduate Engineer","Miami","FL",NA,"networking",NA,NA,"Engineering","engineering",NA,386740,25.78,-80.21,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Dow Corning","Process Engineer","Midland","MI",NA,"TartanTRAK",NA,NA,"Engineering Other","manufacturing",NA,42516,43.62,-84.23,0
2014,"Permanent Resident","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","E","Goldman Copeland Consulting",NA,"New York","NY",NA,NA,NA,NA,NA,NA,NA,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","E","Procter & Gamble","Research and Development Engineer",NA,NA,NA,"Internship",NA,NA,"Research and Development Engineering","consumer products",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","E","Federal Mogul","Test Engineer in Technical Services Group of Systems Protection","Exton","PA",NA,NA,NA,NA,"Engineering: Materials","manufacturing",NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Alarm.com","Device Engineer","Tyson Corners","VA",NA,"TartanTRAK",NA,NA,"Engineering: Electrical/Computer","consumer products",1,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","E","Accenture","Consultant","New York","NY",NA,NA,NA,NA,"Analyst: Business","consulting",NA,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Google","Software Engineer","Mountain View","CA",NA,"Hired from internship Experience",NA,NA,"Engineering: Electrical/Computer","technology",1,67788,37.4,-122.08,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Microsoft","Program Manager","Seattle","WA",NA,"Job Fair",NA,NA,"Engineering: Electrical/Computer","technology",1,570430,47.62,-122.35,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Disney","Digital Media Services Intern","Seattle","WA",NA,"Company Website",NA,NA,"Engineering: Electrical/Computer","arts & entertainment",NA,570430,47.62,-122.35,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","E","PricewaterhouseCoopers","Management Consultant","New York","NY",NA,"Job Fair",NA,NA,"Engineering: Materials","consulting",2,8124427,40.67,-73.94,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","F13","E","PGW","Process Engineer","Pittsburgh","PA",NA,"Networking",NA,NA,"Engineering: Materials","manufacturing",4,316272,40.44,-79.98,0
2014,"U.S. Citizen","Taiwan","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Dropbox","Software Development Engineer","San Francisco","CA",NA,"TartanTRAK",NA,NA,"Engineering: Electrical/Computer","technology",5,723724,37.77,-122.45,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Veson Nautical","Technical Solutions Engineer","Boston","MA",NA,NA,NA,NA,"Engineering: Electrical/Computer","technology",NA,567759,42.34,-71.02,2
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","E","IBM","Business Analystics Consultant","Washington","DC",NA,"Networking",NA,NA,"Engineering: Materials","technology",2,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Athenahealth","Software Developer","San Francisco","CA",NA,"Job Fair",NA,NA,"Engineering: Electrical/Computer","technology",2,723724,37.77,-122.45,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","E","Harris Corp","Embedded Software Engineer","Melbourne","FL",NA,"TartanTRAK",NA,NA,"Engineering: Electrical/Computer","engineering",1,77320,28.11,-80.64,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","E","General Electric","Operations Management Leadership Program, Transportation","Erie","PA",NA,"Hired from internship",NA,NA,"Management: Operations","manufacturing",1,98968,42.13,-80.09,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Biomedical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","G","Carnegie Mellon University","Civil Engineering - AIS","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","G","Carnegie Mellon University","Civil and Environmental Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","G","Ohio State University","Food Science",NA,NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","F13","G","Carnegie Mellon University","Civil and Environmental Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Permanent Resident","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","G","University of Mississippi School of Medicine","Medical School","Oxford","MS","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","G","Carnegie Mellon University","Biomedical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","University of Pittsburgh","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Business","Pittsburgh","PA","MBA",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","F13","G","Carnegie Mellon University","ETIM","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G",NA,"Medicine",NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Chemical Engineering","CHE","S14","G","Carnegie Mellon University","Chemical Engineering","Pittsburgh","PA","MChE",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","John Carroll University","Woodrow Wilson Teaching Fellowship","Cleveland","OH","MS",NA,NA,NA,NA,NA,NA,443949,41.48,-81.68,0
2014,"Non-US Citizen","India","Female","BS","CIT","Chemical Engineering","CHE","S14","G","Carnegie Mellon University","Energy Science Technology & Policy","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","F13","G","Carnegie Mellon University","Civil and Environmental Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","G","Carnegie Mellon University","Environmental Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","United Kingdom","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Master of Integrated Innovation for Products and Services","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CEE","S14","G","Carnegie Mellon University","Environmental Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Permanent Resident","Other","Female","BS","CIT","Civil & Environmental Engineering","CIV","S14","G","Carnegie Mellon University","Civil and Environmental Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","Malaysia","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Civil & Environmental Engineering","CIV","F13","G","Carnegie Mellon University","Civil Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","UC Berkeley","Mechanical Engineering","Berkeley","CA","PhD",NA,NA,NA,NA,NA,NA,99653,37.87,-122.27,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","China","Female","BS","CIT","Chemical Engineering","CHE","S14","G","Carnegie Mellon University","Master of Information Systems Management","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS","Networking",NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","Other","Female","BS","CIT","Chemical Engineering","CHE","S14","G","University of Cambridge","Advanced Chemical Engineering","Cambridge","UK","MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Permanent Resident","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","Thailand","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Mechanical Engineering","MEG","S14","G","Carnegie Mellon University","Mechanical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","Other","Female","BS","CIT","Chemical Engineering","CHE","S14","G","Swiss Federal Institute of Technology Lausanne","Chemical and Bioengineering","Lausanne","Switzerland","MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","Carnegie Mellon University","Biomedical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","UC San Diego","Material Science","San Diego","CA","PhD",NA,NA,NA,NA,NA,NA,1299352,32.81,-117.14,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","Carnegie Mellon University","Biomedical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","Carnegie Mellon University","Biomedical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","UC Irvine","Mechanical Engineering","Irvine","CA","MS",NA,NA,NA,NA,NA,NA,199755,33.66,-117.8,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","Sheffield Hallam University","Sports Engineering","Sheffield","UK","MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","F13","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Permanent Resident","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Permanent Resident","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","F13","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","Singapore","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Non-US Citizen","China","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"Permanent Resident","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","S14","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Materials Science","MSE","S14","G","Carnegie Mellon University","Biomedical Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
2014,"U.S. Citizen","United States","Female","BS","CIT","Electrical & Computer Engineering","ECE","F13","G","Carnegie Mellon University","Electrical & Computer Engineering","Pittsburgh","PA","MS",NA,NA,NA,NA,NA,NA,316272,40.44,-79.98,0
